word,field,synonym,specificity_boost
suggest,Humanities,intimate,0.5
develop,Medical,elaborate,0.4
develop,Medical,cultivate,0.4
develop,Engineering,formulate,0.4
develop,Engineering,devise,0.5
develop,Humanities,cultivate,0.4
develop,Humanities,foster,0.4
provide,Medical,furnish,0.4
provide,Medical,impart,0.5
provide,Engineering,render,0.4
provide,Engineering,deploy,0.5
provide,Humanities,furnish,0.4
provide,Humanities,impart,0.5
consider,Medical,contemplate,0.4
consider,Medical,deliberate,0.5
consider,Engineering,contemplate,0.4
consider,Engineering,reckon,0.5
consider,Humanities,contemplate,0.4
consider,Humanities,mull over,0.6
establish,Medical,corroborate,0.4
establish,Medical,substantiate,0.3
establish,Engineering,validate,0.3
establish,Engineering,authenticate,0.5
establish,Humanities,corroborate,0.4
establish,Humanities,substantiate,0.3
create,Medical,engender,0.5
create,Medical,foster,0.4
create,Engineering,devise,0.5
create,Engineering,synthesize,0.5
create,Humanities,engender,0.5
create,Humanities,fashion,0.5
maintain,Medical,sustain,0.3
maintain,Medical,preserve,0.3
maintain,Engineering,sustain,0.3
maintain,Engineering,uphold,0.4
maintain,Humanities,uphold,0.4
maintain,Humanities,sustain,0.3
require,Medical,necessitate,0.5
require,Medical,demand,0.3
require,Engineering,necessitate,0.5
require,Engineering,mandate,0.5
require,Humanities,necessitate,0.5
require,Humanities,demand,0.3
produce,Medical,yield,0.3
produce,Medical,engender,0.5
produce,Engineering,yield,0.3
produce,Engineering,generate,0.2
produce,Humanities,yield,0.3
produce,Humanities,fashion,0.5
support,Medical,corroborate,0.4
support,Medical,substantiate,0.3
support,Engineering,buttress,0.6
support,Engineering,underpin,0.5
support,Humanities,corroborate,0.4
support,Humanities,buttress,0.6
affect,Medical,afflict,0.5
affect,Medical,impinge upon,0.6
affect,Engineering,impinge upon,0.6
affect,Engineering,modulate,0.5
affect,Humanities,impinge upon,0.6
affect,Humanities,bear upon,0.5
observe,Medical,remark,0.3
observe,Medical,perceive,0.4
observe,Engineering,discern,0.5
observe,Engineering,detect,0.3
observe,Humanities,remark,0.3
observe,Humanities,perceive,0.4
reveal,Medical,unveil,0.5
reveal,Medical,disclose,0.4
reveal,Engineering,unveil,0.5
reveal,Engineering,lay bare,0.6
reveal,Humanities,lay bare,0.6
reveal,Humanities,disclose,0.4
propose,Medical,posited,0.5
propose,Medical,postulate,0.5
propose,Engineering,posited,0.5
propose,Engineering,theorize,0.5
propose,Humanities,posited,0.5
propose,Humanities,advance,0.4
analyze,Medical,dissect,0.5
analyze,Medical,appraise,0.5
analyze,Engineering,dissect,0.5
analyze,Engineering,deconstruct,0.6
analyze,Humanities,dissect,0.5
analyze,Humanities,interrogate,0.6
evaluate,Medical,appraise,0.5
evaluate,Medical,assess,0.2
evaluate,Engineering,appraise,0.5
evaluate,Engineering,gauge,0.5
evaluate,Humanities,appraise,0.5
evaluate,Humanities,weigh,0.4
identify,Medical,discern,0.5
identify,Medical,spot,0.3
identify,Engineering,discern,0.5
identify,Engineering,isolate,0.5
identify,Humanities,discern,0.5
identify,Humanities,recognize,0.2
understand,Medical,comprehend,0.3
understand,Medical,grasp,0.4
understand,Engineering,comprehend,0.3
understand,Engineering,parse,0.5
understand,Humanities,comprehend,0.3
understand,Humanities,fathom,0.5
perform,Medical,execute,0.3
perform,Medical,administer,0.5
perform,Engineering,execute,0.3
perform,Engineering,carry out,0.2
perform,Humanities,execute,0.3
perform,Humanities,undertake,0.4
obtain,Medical,procure,0.5
obtain,Medical,acquire,0.3
obtain,Engineering,procure,0.5
obtain,Engineering,extract,0.5
obtain,Humanities,procure,0.5
obtain,Humanities,garner,0.5
determine,Medical,ascertain,0.5
determine,Medical,establish,0.2
determine,Engineering,ascertain,0.5
determine,Engineering,quantify,0.5
determine,Humanities,ascertain,0.5
determine,Humanities,deduce,0.4
report,Medical,chronicle,0.5
report,Medical,document,0.3
report,Engineering,chronicle,0.5
report,Engineering,document,0.3
report,Humanities,chronicle,0.5
report,Humanities,recount,0.5
include,Medical,subsume,0.5
include,Medical,encompass,0.4
include,Engineering,subsume,0.5
include,Engineering,encompass,0.4
include,Humanities,subsume,0.5
include,Humanities,encompass,0.4
change,Medical,modulate,0.5
change,Medical,transmute,0.6
change,Engineering,modulate,0.5
change,Engineering,transmute,0.6
change,Humanities,transmute,0.6
change,Humanities,recalibrate,0.6
focus,Medical,hone in on,0.5
focus,Medical,concentrate on,0.2
focus,Engineering,hone in on,0.5
focus,Engineering,zoom in on,0.6
focus,Humanities,hone in on,0.5
focus,Humanities,fix upon,0.5
result,Medical,culminate,0.5
result,Medical,eventuate,0.6
result,Engineering,culminate,0.5
result,Engineering,eventuate,0.6
result,Humanities,culminate,0.5
result,Humanities,eventuate,0.6
study,Medical,probe,0.4
study,Medical,scrutinize,0.5
study,Engineering,probe,0.4
study,Engineering,investigate,0.3
study,Humanities,probe,0.4
study,Humanities,scrutinize,0.5
lead,Medical,engender,0.5
lead,Medical,pave the way for,0.6
lead,Engineering,engender,0.5
lead,Engineering,precipitate,0.5
lead,Humanities,engender,0.5
lead,Humanities,pave the way for,0.6
argue,Medical,contend,0.4
argue,Medical,posit,0.5
argue,Engineering,contend,0.4
argue,Engineering,aver,0.6
argue,Humanities,contend,0.4
argue,Humanities,aver,0.6
describe,Medical,delineate,0.4
describe,Medical,depict,0.4
describe,Engineering,delineate,0.4
describe,Engineering,charter,0.6
describe,Humanities,depict,0.4
describe,Humanities,render,0.4
discuss,Medical,deliberate upon,0.6
discuss,Medical,canvass,0.6
discuss,Engineering,deliberate upon,0.6
discuss,Engineering,canvass,0.6
discuss,Humanities,deliberate upon,0.6
discuss,Humanities,canvass,0.6
occur,Medical,eventuate,0.6
occur,Medical,transpire,0.5
occur,Engineering,eventuate,0.6
occur,Engineering,manifest,0.5
occur,Humanities,transpire,0.5
occur,Humanities,eventuate,0.6
involve,Medical,entail,0.4
involve,Medical,necessitate,0.5
involve,Engineering,entail,0.4
involve,Engineering,necessitate,0.5
involve,Humanities,entail,0.4
involve,Humanities,encompass,0.4
assume,Medical,presume,0.4
assume,Medical,postulate,0.5
assume,Engineering,presume,0.4
assume,Engineering,postulate,0.5
assume,Humanities,presume,0.4
assume,Humanities,take as given,0.5
approach,Medical,tackle,0.4
approach,Medical,address,0.3
approach,Engineering,tackle,0.4
approach,Engineering,tackle head-on,0.6
approach,Humanities,tackle,0.4
approach,Humanities,reckon with,0.6
present,Medical,proffer,0.6
present,Medical,advance,0.4
present,Engineering,proffer,0.6
present,Engineering,adduce,0.6
present,Humanities,proffer,0.6
present,Humanities,adduce,0.6
measure,Medical,quantify,0.5
measure,Medical,gauge,0.5
measure,Engineering,quantify,0.5
measure,Engineering,calibrate,0.5
measure,Humanities,gauge,0.5
measure,Humanities,assess,0.2
highlight,Medical,foreground,0.5
highlight,Medical,underscore,0.4
highlight,Engineering,foreground,0.5
highlight,Engineering,underscore,0.4
highlight,Humanities,foreground,0.5
highlight,Humanities,bring into relief,0.6
confirm,Medical,corroborate,0.4
confirm,Medical,substantiate,0.3
confirm,Engineering,corroborate,0.4
confirm,Engineering,validate,0.3
confirm,Humanities,corroborate,0.4
confirm,Humanities,bear out,0.5
explore,Medical,probe,0.4
explore,Medical,delve into,0.5
explore,Engineering,probe,0.4
explore,Engineering,investigate,0.3
explore,Humanities,delve into,0.5
explore,Humanities,plumb,0.6
assess,Medical,appraise,0.5
assess,Medical,evaluate,0.2
assess,Engineering,appraise,0.5
assess,Engineering,gauge,0.5
assess,Humanities,appraise,0.5
assess,Humanities,weigh,0.4
investigate,Medical,probe,0.4
investigate,Medical,scrutinize,0.5
investigate,Engineering,probe,0.4
investigate,Engineering,examine,0.2
investigate,Humanities,delve into,0.5
investigate,Humanities,scrutinize,0.5
effective,Medical,efficacious,0.5
effective,Medical,potent,0.4
effective,Engineering,efficacious,0.5
effective,Engineering,robust,0.4
effective,Humanities,efficacious,0.5
effective,Humanities,potent,0.4
efficient,Medical,efficacious,0.5
efficient,Medical,streamlined,0.4
efficient,Engineering,optimized,0.4
efficient,Engineering,streamlined,0.4
efficient,Humanities,economical,0.4
efficient,Humanities,frugal,0.5
relevant,Medical,germane,0.5
relevant,Medical,pertinent,0.4
relevant,Engineering,germane,0.5
relevant,Engineering,pertinent,0.4
relevant,Humanities,germane,0.5
relevant,Humanities,salient,0.4
appropriate,Medical,apt,0.4
appropriate,Medical,fitting,0.4
appropriate,Engineering,apt,0.4
appropriate,Engineering,suitable,0.2
appropriate,Humanities,apt,0.4
appropriate,Humanities,seemly,0.6
consistent,Medical,concordant,0.5
consistent,Medical,coherent,0.3
consistent,Engineering,concordant,0.5
consistent,Engineering,congruent,0.5
consistent,Humanities,concordant,0.5
consistent,Humanities,congruent,0.5
associated,Medical,concomitant,0.6
associated,Medical,coupled,0.4
associated,Engineering,concomitant,0.6
associated,Engineering,coupled,0.4
associated,Humanities,concomitant,0.6
associated,Humanities,inextricably linked,0.6
subsequent,Medical,following,0.2
subsequent,Medical,succeeding,0.4
subsequent,Engineering,following,0.2
subsequent,Engineering,succeeding,0.4
subsequent,Humanities,succeeding,0.4
subsequent,Humanities,in the wake of,0.5
various,Medical,diverse,0.3
various,Medical,myriad,0.5
various,Engineering,diverse,0.3
various,Engineering,disparate,0.5
various,Humanities,myriad,0.5
various,Humanities,manifold,0.5
possible,Medical,plausible,0.4
possible,Medical,conceivable,0.5
possible,Engineering,plausible,0.4
possible,Engineering,conceivable,0.5
possible,Humanities,conceivable,0.5
possible,Humanities,tenable,0.5
adequate,Medical,sufficient,0.2
adequate,Medical,commensurate,0.5
adequate,Engineering,commensurate,0.5
adequate,Engineering,sufficient,0.2
adequate,Humanities,commensurate,0.5
adequate,Humanities,satisfactory,0.3
essential,Medical,indispensable,0.5
essential,Medical,pivotal,0.4
essential,Engineering,indispensable,0.5
essential,Engineering,requisite,0.5
essential,Humanities,indispensable,0.5
essential,Humanities,cardinal,0.6
fundamental,Medical,cardinal,0.5
fundamental,Medical,rudimentary,0.4
fundamental,Engineering,cardinal,0.5
fundamental,Engineering,foundational,0.4
fundamental,Humanities,cardinal,0.5
fundamental,Humanities,rudimentary,0.4
particularly,Medical,notably,0.3
particularly,Medical,markedly,0.5
particularly,Engineering,notably,0.3
particularly,Engineering,markedly,0.5
particularly,Humanities,notably,0.3
particularly,Humanities,singularly,0.5
primarily,Medical,chiefly,0.4
primarily,Medical,predominantly,0.4
primarily,Engineering,chiefly,0.4
primarily,Engineering,predominantly,0.4
primarily,Humanities,chiefly,0.4
primarily,Humanities,preeminently,0.6
approximately,Medical,roughly,0.3
approximately,Medical,on the order of,0.5
approximately,Engineering,roughly,0.3
approximately,Engineering,on the order of,0.5
approximately,Humanities,roughly,0.3
approximately,Humanities,in the vicinity of,0.6
consequently,Medical,ergo,0.5
consequently,Medical,as a corollary,0.6
consequently,Engineering,ergo,0.5
consequently,Engineering,as a corollary,0.6
consequently,Humanities,hence,0.3
consequently,Humanities,whereby,0.5
furthermore,Medical,more to the point,0.5
furthermore,Medical,what compounds this,0.6
furthermore,Engineering,more to the point,0.5
furthermore,Engineering,in tandem,0.5
furthermore,Humanities,moreover still,0.5
furthermore,Humanities,what is more,0.4
moreover,Medical,crucially,0.4
moreover,Medical,what further complicates matters,0.6
moreover,Engineering,crucially,0.4
moreover,Engineering,in addition,0.2
moreover,Humanities,crucially,0.4
moreover,Humanities,what further complicates matters,0.6
however,Medical,that said,0.3
however,Medical,be that as it may,0.5
however,Engineering,that said,0.3
however,Engineering,nonetheless,0.3
however,Humanities,that said,0.3
however,Humanities,and yet,0.4
therefore,Medical,accordingly,0.4
therefore,Medical,hence,0.3
therefore,Engineering,accordingly,0.4
therefore,Engineering,thereby,0.3
therefore,Humanities,accordingly,0.4
therefore,Humanities,hence,0.3
additionally,Medical,in parallel,0.4
additionally,Medical,as a further consideration,0.6
additionally,Engineering,in parallel,0.4
additionally,Engineering,in tandem,0.5
additionally,Humanities,as a further consideration,0.6
additionally,Humanities,into the bargain,0.6
